date,fund
2018-01-31,0.027868566120449308
2018-02-28,0.002469427953152614
2018-03-31,0.033907541524027696
2018-04-30,0.06892119425632101
2018-05-31,-0.0013661349889334384
2018-06-30,-0.001365478277967222
2018-07-31,0.07116851262029567
2018-08-31,0.038697389166116355
2018-09-30,-0.010778975437398086
2018-10-31,0.02970240174343859
2018-11-30,-0.01053670771249849
2018-12-31,-0.010629190142810274
2019-01-31,0.017678490862641366
2019-02-28,-0.06853120978631191
2019-03-31,-0.06099671330052132
2019-04-30,-0.014491501169638907
2019-05-31,-0.03251324481337695
2019-06-30,0.020569893303810954
2019-07-31,-0.02832096302084844
2019-08-31,-0.04849214805341166
2019-09-30,0.06662595075686217
2019-10-31,-0.0010310520194614266
2019-11-30,0.010701128187516954
2019-12-31,-0.04898992744853827
2020-01-31,-0.013775308981007307
2020-02-29,0.012436903588394645
2020-03-31,-0.03803974309689211
2020-04-30,0.023027920733826878
2020-05-31,-0.0160255475967522
2020-06-30,-0.003667749991731072
2020-07-31,-0.016068264489175876
2020-08-31,0.08209112738035751
2020-09-30,0.007460111010482644
2020-10-31,-0.03430843715823601
2020-11-30,0.04090179648412756
2020-12-31,-0.04083374599884089
2021-01-31,0.01635454380019022
2021-02-28,-0.07038680495519103
2021-03-31,-0.04512744195593722
2021-04-30,0.01587444943476494
2021-05-31,0.03753866319981641
2021-06-30,0.01485473124759882
2021-07-31,0.0033740687044703788
2021-08-31,-0.004044147823571551
2021-09-30,-0.0511408796146971
2021-10-31,-0.020793768335788346
2021-11-30,-0.0104255508383915
2021-12-31,0.05028488904875663
2022-01-31,0.021744731582738458
2022-02-28,-0.06252160621450936
2022-03-31,0.0209633587757918
2022-04-30,-0.007403291216652662
2022-05-31,-0.01907688001223835
2022-06-30,0.03246705155363472
2022-07-31,0.04923998089983804
2022-08-31,0.045251204764647945
2022-09-30,-0.025568700928905543
2022-10-31,-0.004368495034048583
2022-11-30,0.02125053725614256
2022-12-31,0.04702180508489437
